"","artist","title","sales_price","sold_dummy","low_estimate","high_estimate","signiture","height","width","surface","created","medium","auction_lot","auction_date","auction_location"
"1","Liang Guan","STILL LIFE",240190,1,25620,51240,"Signed",28,33,924,NA,"Oil / Paperboard","1001","3/31/19","0"
"2","Liang Guan","COMPOSITION",1252180,1,256200,512400,NA,54.6,64.3,3510.78,"1948","Oil / Canvas","1002","3/31/19","0"
"3","Liang Guan","BAO CHENG SHIMEN CAVE",1282920,1,384300,640500,NA,79.5,58,4611,"1950s","Oil / Canvas","1006","3/31/19","0"
"4","Liang Guan","SWINEHERD",224180,1,64050,102480,NA,32.2,39.2,1262.24,"1960s","Oil / Canvas","1007","3/31/19","0"
"5","Guanzhong Wu","LOTUS FLOWERS (I)",16752020,1,1921500,3202500,"Signed and Dated",120.5,90.5,10905.25,"1974","Oil / Canvas","1008","3/31/19","0"
"6","Guanzhong Wu","SPRING TO THE NORTH",3250540,1,1921500,3202500,"Signed and Dated",93,60.4,5617.2,"1996","Oil / Canvas","1009","3/31/19","0"
"7","Pierre Auguste Renoir","JEUNE FILLE SE PEIGNANT (LA COIFFURE)",2635660,1,1537200,2562000,"Signed Lower Left",57.2,47,2688.4,"c.  1896","Oil / Canvas","1010","3/31/19","0"
"8","Leonard Tsuguharu Foujita","FEMME AU CHAT, PORTRAIT DE GHITA",2712520,1,448350,704550,"Signed and Dated",72.8,60,4368,"1926","Oil / Canvas","1011","3/31/19","0"
"9","Leonard Tsuguharu Foujita","GIRL WITH WINE",1175320,1,512400,768600,"Signed and Dated",46.4,27.2,1262.08,"1955","Oil / Canvas","1012","3/31/19","0"
"10","Bernard Buffet","CLOWN",944740,1,448350,704550,"Signed and Dated",115.5,81.5,9413.25,"1968","Oil / Canvas","1013","3/31/19","0"
"11","Yen-Yung Ting","SEATED LADY",NA,0,768600,1281000,"Signed Monogram",91.2,60.7,5535.84,"c.  1970s","Oil / Canvas","1014","3/31/19","0"
"12","Yen-Yung Ting","FLOWERS IN A URN / COMPOSITION II (DOUBLE-SIDED)",NA,0,320250,576450,"Signed and Dated",46,30.5,1403,"1965","Oil / Masonite","1015","3/31/19","0"
"13","Yuliang Pan","BOUQUET DE CHRYSANTH?MES ROSES",512400,1,230580,486780,"Signed and Dated",46,55,2530,"1944","Oil / Canvas","1021","3/31/19","0"
"14","Dayu Wu","FLOURISHING",1329040,1,871080,1281000,NA,46.2,34,1570.8,"c.  1970s","Oil / Canvas","1022","3/31/19","0"
"15","Gee Yun","TANAKA MEMORIAL, JAPANESE IMPERIALIST DREAM",1252180,1,640500,1024800,"Signed and Dated",121,102,12342,"1932","Oil / Wood","1023","3/31/19","0"
"16","Gee Yun","RIGHT ROUTE TO FREEDOM",2174500,1,1024800,1537200,"Signed",94,101.5,9541,"1947","Oil / Canvas","1024","3/31/19","0"
