artist,title,online_dummy,sales_dollar,dummy_sold,low_estimate_dollar,high_estimate_dollar,signed,size_cm,edition,foundry,created,category,Medium,auction_lot,auction_date,auction_location
Liang Guan,STILL LIFE,0,240190,1,25620,51240,Signed,28.00cm x 33.00cm,,,,Paintings,Oil / Paperboard,1001,3/31/19,Sotheby's Hong Kong
Liang Guan,COMPOSITION,0,1252180,1,256200,512400,Unavailable,54.60cm x 64.30cm,,,1948,Paintings,Oil / Canvas,1002,3/31/19,Sotheby's Hong Kong
Liang Guan,MONKEY KING MAKING HAVOC IN HEAVEN,0,1713340,1,256200,512400,Signed and Dated,94.00cm x 179.00cm,,,1980,Works on Paper,Ink and colour / Paper,1003,3/31/19,Sotheby's Hong Kong
Liang Guan,COWHERD,0,112090,1,64050,102480,Signed and Dated,98.00cm x 90.50cm,,,1977,Works on Paper,Ink and colour / Paper,1004,3/31/19,Sotheby's Hong Kong
Yen-Yung Ting,THE EIGHT IMMORTALS,0,,0,102480,204960,Signed and Dated,137.00cm x 70.00cm,,,1975,Works on Paper,Ink and colour / Paper,1005,3/31/19,Sotheby's Hong Kong
Liang Guan,BAO CHENG SHIMEN CAVE,0,1282920,1,384300,640500,Unavailable,79.50cm x 58.00cm,,,1950s,Paintings,Oil / Canvas,1006,3/31/19,Sotheby's Hong Kong
Liang Guan,SWINEHERD,0,224180,1,64050,102480,Unavailable,32.20cm x 39.20cm,,,1960s,Paintings,Oil / Canvas,1007,3/31/19,Sotheby's Hong Kong
Guanzhong Wu,LOTUS FLOWERS (I),0,16752020,1,1921500,3202500,Signed and Dated,120.50cm x 90.50cm,,,1974,Paintings,Oil / Canvas,1008,3/31/19,Sotheby's Hong Kong
Guanzhong Wu,SPRING TO THE NORTH,0,3250540,1,1921500,3202500,Signed and Dated,93.00cm x 60.40cm,,,1996,Paintings,Oil / Canvas,1009,3/31/19,Sotheby's Hong Kong
Pierre Auguste Renoir,JEUNE FILLE SE PEIGNANT (LA COIFFURE),0,2635660,1,1537200,2562000,Signed Lower Left,57.20cm x 47.00cm,,,c.  1896,Paintings,Oil / Canvas,1010,3/31/19,Sotheby's Hong Kong
Leonard Tsuguharu Foujita,"FEMME AU CHAT, PORTRAIT DE GHITA",0,2712520,1,448350,704550,Signed and Dated,72.80cm x 60.00cm,,,1926,Paintings,Oil / Canvas,1011,3/31/19,Sotheby's Hong Kong
Leonard Tsuguharu Foujita,GIRL WITH WINE,0,1175320,1,512400,768600,Signed and Dated,46.40cm x 27.20cm,,,1955,Paintings,Oil / Canvas,1012,3/31/19,Sotheby's Hong Kong
Bernard Buffet,CLOWN,0,944740,1,448350,704550,Signed and Dated,115.50cm x 81.50cm,,,1968,Paintings,Oil / Canvas,1013,3/31/19,Sotheby's Hong Kong
Yen-Yung Ting,SEATED LADY,0,,0,768600,1281000,Signed Monogram,91.20cm x 60.70cm,,,c.  1970s,Paintings,Oil / Canvas,1014,3/31/19,Sotheby's Hong Kong
Yen-Yung Ting,FLOWERS IN A URN / COMPOSITION II (DOUBLE-SIDED),0,,0,320250,576450,Signed and Dated,46.00cm x 30.50cm,,,1965,Paintings,Oil / Masonite,1015,3/31/19,Sotheby's Hong Kong
Fengmian Lin,BEAUTY DEFIES TYRANNY,0,1559620,1,384300,640500,Signed and Dated,68.50cm x 65.20cm,,,1947,Works on Paper,Ink and colour / Paper,1016,3/31/19,Sotheby's Hong Kong
Liang Guan,FLOWERS AND FRUITS,0,606550,1,128100,256200,Signed and Titled,137.00cm x 68.00cm,,,,Works on Paper,Ink and colour / Paper,1017,3/31/19,Sotheby's Hong Kong
Fengmian Lin,BLOOMING CHRYSANTHEMUMS,0,480380,1,384300,640500,Signed,68.50cm x 68.10cm,,,c.  1970s,Works on Paper,Ink and colour paper / Paper,1018,3/31/19,Sotheby's Hong Kong
Fengmian Lin,STILL LIFE WITH WHITE ROSE,0,304240,1,192150,384300,Signed,68.00cm x 68.00cm,,,,Works on Paper,Ink and colour / Paper,1019,3/31/19,Sotheby's Hong Kong
Liang Guan,STILL LIFE,0,192150,1,38430,64050,Signed,68.00cm x 68.50cm,,,,Works on Paper,Ink and colour / Paper,1020,3/31/19,Sotheby's Hong Kong
Yuliang Pan,BOUQUET DE CHRYSANTHÈMES ROSES,0,512400,1,230580,486780,Signed and Dated,46.00cm x 55.00cm,,,1944,Paintings,Oil / Canvas,1021,3/31/19,Sotheby's Hong Kong
Dayu Wu,FLOURISHING,0,1329040,1,871080,1281000,Unavailable,46.20cm x 34.00cm,,,c.  1970s,Paintings,Oil / Canvas,1022,3/31/19,Sotheby's Hong Kong
