,x,y,z,canvas,oil,acrylic,board,paper,lacquer,masonite,panel,ink,wood
0,Oil / Paperboard,oil  paperboard,oil  paperboard,0,1,0,1,1,0,0,0,0,0
1,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
2,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
3,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
4,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
5,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
6,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
7,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
8,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
9,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
10,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
11,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
12,Oil / Wood,oil  wood,oil  wood,0,1,0,0,0,0,0,0,0,1
13,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
14,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
15,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
16,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
17,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
18,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
19,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
20,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
21,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
22,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
23,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
24,Acrylic on shaped canvas,acrylic on shaped canvas,acrylic shaped canvas,1,0,1,0,0,0,0,0,0,0
25,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
26,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
27,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
28,Lacquer on wood panel,lacquer on wood panel,lacquer wood panel,0,0,0,0,0,1,0,1,0,1
29,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
30,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
31,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
32,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
33,Oil / Masonite,oil  masonite,oil  masonite,0,1,0,0,0,0,1,0,0,0
34,Oil / Masonite,oil  masonite,oil  masonite,0,1,0,0,0,0,1,0,0,0
35,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
36,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
37,Oil on canvas mounted on wood panel / Canvas,oil on canvas mounted on wood panel  canvas,oil canvas mounted wood panel  canvas,1,1,0,0,0,0,0,1,0,1
38,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
39,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
40,Acrylic / Paper,acrylic  paper,acrylic  paper,0,0,1,0,1,0,0,0,0,0
41,Acrylic / Paper,acrylic  paper,acrylic  paper,0,0,1,0,1,0,0,0,0,0
42,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
43,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
44,Merapi volcanic ash and pigmented resin mounted on wooden panel,merapi volcanic ash and pigmented resin mounted on wooden panel,merapi volcanic ash  pigmented resin mounted wooden panel,0,0,0,0,0,0,0,1,0,1
45,Oil and acrylic / Canvas,oil and acrylic  canvas,oil  acrylic  canvas,1,1,1,0,0,0,0,0,0,0
46,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
47,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
48,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
49,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
50,Oil and acrylic / Canvas,oil and acrylic  canvas,oil  acrylic  canvas,1,1,1,0,0,0,0,0,0,0
51,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
52,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
53,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
54,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
55,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
56,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
57,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
58,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
59,Oil / Canvas,oil  canvas,oil  canvas,1,1,0,0,0,0,0,0,0,0
60,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
61,Acrylic / Canvas,acrylic  canvas,acrylic  canvas,1,0,1,0,0,0,0,0,0,0
