artist,title,sales_price,sold_dummy,low_estimate,high_estimate,signiture,height,width,created,medium,auction_lot,auction_date,auction_location
Liang Guan,STILL LIFE,240190,1,25620,51240,Signed,28,33,NA,Oil / Paperboard,1001,2019/3/31,0
Liang Guan,COMPOSITION,1252180,1,256200,512400,NA,54.6,64.3,1948,Oil / Canvas,1002,2019/3/31,0
Liang Guan,BAO CHENG SHIMEN CAVE,1282920,1,384300,640500,NA,79.5,58,1950s,Oil / Canvas,1006,2019/3/31,0
Liang Guan,SWINEHERD,224180,1,64050,102480,NA,32.2,39.2,1960s,Oil / Canvas,1007,2019/3/31,0
Guanzhong Wu,LOTUS FLOWERS (I),16752020,1,1921500,3202500,Signed and Dated,120.5,90.5,1974,Oil / Canvas,1008,2019/3/31,0
Guanzhong Wu,SPRING TO THE NORTH,3250540,1,1921500,3202500,Signed and Dated,93,60.4,1996,Oil / Canvas,1009,2019/3/31,0
Pierre Auguste Renoir,JEUNE FILLE SE PEIGNANT (LA COIFFURE),2635660,1,1537200,2562000,Signed Lower Left,57.2,47,c.  1896,Oil / Canvas,1010,2019/3/31,0
Leonard Tsuguharu Foujita,"FEMME AU CHAT, PORTRAIT DE GHITA",2712520,1,448350,704550,Signed and Dated,72.8,60,1926,Oil / Canvas,1011,2019/3/31,0
Leonard Tsuguharu Foujita,GIRL WITH WINE,1175320,1,512400,768600,Signed and Dated,46.4,27.2,1955,Oil / Canvas,1012,2019/3/31,0
Bernard Buffet,CLOWN,944740,1,448350,704550,Signed and Dated,115.5,81.5,1968,Oil / Canvas,1013,2019/3/31,0
Yen-Yung Ting,SEATED LADY,NA,0,768600,1281000,Signed Monogram,91.2,60.7,c.  1970s,Oil / Canvas,1014,2019/3/31,0
Yen-Yung Ting,FLOWERS IN A URN / COMPOSITION II (DOUBLE-SIDED),NA,0,320250,576450,Signed and Dated,46,30.5,1965,Oil / Masonite,1015,2019/3/31,0
Yuliang Pan,BOUQUET DE CHRYSANTHÈMES ROSES,512400,1,230580,486780,Signed and Dated,46,55,1944,Oil / Canvas,1021,2019/3/31,0
Dayu Wu,FLOURISHING,1329040,1,871080,1281000,NA,46.2,34,c.  1970s,Oil / Canvas,1022,2019/3/31,0
Gee Yun,"TANAKA MEMORIAL, JAPANESE IMPERIALIST DREAM",1252180,1,640500,1024800,Signed and Dated,121,102,1932,Oil / Wood,1023,2019/3/31,0
Gee Yun,RIGHT ROUTE TO FREEDOM,2174500,1,1024800,1537200,Signed,94,101.5,1947,Oil / Canvas,1024,2019/3/31,0
Gee Yun,ADAM AND EVE,867880,1,256200,384300,NA,80.6,64.8,NA,Oil / Canvas,1025,2019/3/31,0
Wou-Ki Zao,UNTITLED,14855240,1,7686000,10248000,Signed and Dated,114.3,162.6,1958,Oil / Canvas,1026,2019/3/31,0
Wou-Ki Zao,VILLAGE DE MONTAGNE SE DISPERSENT,2328220,1,1921500,3202500,Signed and Dated,73,92,1954,Oil / Canvas,1027,2019/3/31,0
Wou-Ki Zao,17.12.60,7559950,1,5124000,7686000,Signed and Dated,160.5,130,1960,Oil / Canvas,1028,2019/3/31,0
Wou-Ki Zao,15.02.65,13104370,1,8967000,12810000,Signed and Dated,97,195,1965,Oil / Canvas,1029,2019/3/31,0
Wou-Ki Zao,19.01.61,10186260,1,7686000,10248000,Signed and Dated,113.6,161.9,1961,Oil / Canvas,1030,2019/3/31,0
Wou-Ki Zao,10.01.86,8289480,1,3202500,4483500,Signed and Dated,195,130,1986,Oil / Canvas,1031,2019/3/31,0
Pang Jiun,A THOUSAND SAILS ON THE SPRING TIDE,791020,1,448350,768600,Signed and Dated,200,750,2018,Oil / Canvas,1033,2019/3/31,0
Georges Mathieu,LA PASSION RETROUVÉE,480380,1,153720,358680,Signed and Dated,97,162,1976,Oil / Canvas,1034,2019/3/31,0
Chin Hsiao,INNER LIGHT,272210,1,102480,204960,Signed and Dated,102,133,1966,Acrylic / Canvas,1036,2019/3/31,0
Enrico Castellani,SUPERFICIE BIANCA,256200,1,192150,358680,Signed and Dated,100,100,1985,Acrylic on shaped canvas,1037,2019/3/31,0
Lalan,LA LUNE EST VOILÉE,867880,1,192150,384300,Signed and Dated,130,195,1974,Oil / Canvas,1038,2019/3/31,0
Sophie Chang,LEANING BEAUTY,416330,1,128100,256200,Signed and Dated,90,250,2018,Oil / Canvas,1039,2019/3/31,0
Sophie Chang,SAMANTABHADRA,160130,1,38430,64050,Signed and Dated,72.5,91,2018,Oil / Canvas,1040,2019/3/31,0
Pham Hau,NINE CARPS IN THE WATER (IN FOUR PARTS),883250,1,256200,384300,Signed,180,198,c. 1939-40,Lacquer on wood panel,1103,2019/3/31,0
Adrien Jean Le Mayeur de Merpres,TWO WOMEN SHADED BY AN UMBRELLA,1175320,1,512400,768600,Signed,75,90.5,NA,Oil / Canvas,1104,2019/3/31,0
Adrien Jean Le Mayeur de Merpres,FESTIVAL,1252180,1,640500,896700,Signed,90.5,120.5,NA,Oil / Canvas,1105,2019/3/31,0
Adrien Jean Le Mayeur de Merpres,LE TABLEAU CHINOIS,1329040,1,384300,640500,Signed,76,91,NA,Oil / Canvas,1106,2019/3/31,0
Romualdo Battista Federico Locatelli,PORTRAIT OF A GIRL,668040,1,192150,320250,Signed and Dated,88,58,1939,Oil / Canvas,1107,2019/3/31,0
Manfong Lee,DOVES,1636480,1,384300,640500,Signed,122,244,NA,Oil / Masonite,1108,2019/3/31,0
Manfong Lee,BALI LIFE (ESTIMATE UPON REQUEST),3711700,1,NA,NA,Signed,81.5,182,NA,Oil / Masonite,1109,2019/3/31,0
Kusama Affandi,BARONG,384300,1,230580,358680,Signed and Dated,100.5,160,1980,Oil / Canvas,1110,2019/3/31,0
Kusama Affandi,SELF PORTRAIT,256200,1,230580,358680,Signed and Dated,127.5,96.5,1977,Oil / Canvas,1111,2019/3/31,0
Hendra Gunawan,WOMEN AND CHILDREN BY THE BEACH (ESTIMATE UPON REQUEST),1405900,1,NA,NA,Signed,139,194.5,NA,Oil on canvas mounted on wood panel / Canvas,1112,2019/3/31,0
Soo Pieng Cheong,ABSTRACT 1963,NA,0,153720,230580,Signed and Dated,64.5,84.5,1963,Oil / Board,1113,2019/3/31,0
Ronald Ventura,BANG,320250,1,256200,384300,Signed and Dated,182.5,152,2017,Oil / Canvas,1116,2019/3/31,0
Inyoman Masriadi,I HAVE BALL,272210,1,204960,358680,Signed and Dated,300,200,2016,Acrylic / Canvas,1117,2019/3/31,0
Walasse Ting,PORTRAIT OF A WOMAN,6730,1,3843,6410,Stamped,51,70.5,NA,Acrylic / Paper,201,2019/4/1,0
Walasse Ting,THREE WOMEN,16010,1,12810,19220,Stamped,177,96,NA,Acrylic / Paper,203,2019/4/1,0
Raduan Man,A KISS GOODNIGHT,4803,1,5120,7690,Signed and Dated,203,203,2018,Oil / Canvas,207,2019/4/1,0
Rafiee Ghani,THE THIEF'S GARDEN HAS NO BUTTERFLIES,12010,1,8970,11530,Signed and Dated,214,183,2018,Oil / Canvas,208,2019/4/1,0
Arin Dwihartanto Sunaryo,VOLCANIC ASH SERIES #5,38430,1,23060,32030,Signed and Dated,173,146,2012,Merapi volcanic ash and pigmented resin mounted on wooden panel,211,2019/4/1,0
Suzlee Ibrahim,MIDNIGHT SUMMERS NO.1,9610,1,8970,11530,Signed and Dated,152,182,2017-18,Oil and acrylic / Canvas,214,2019/4/1,0
Jigger Cruz,COUNTERBALANCE,41630,1,17930,30740,Signed and Dated,106,146,2013,Oil / Canvas,215,2019/4/1,0
Walasse Ting,VENUS UNDER GOLDEN RAIN,76860,1,61490,87110,Signed and Dated,145,212,1969,Acrylic / Canvas,216,2019/4/1,0
Rafiee Ghani,CHASING THE WAVES,NA,0,7690,11530,Signed and Dated,182.5,122,2016,Oil / Canvas,217,2019/4/1,0
Marina Cruz,WHEN WE WERE TEN YEARS OLD �?ELISA AND LAURA (DIPTYCH),60850,1,20500,32030,Signed and Dated,NA,NA,2012,Oil / Canvas,218,2019/4/1,0
Niti Wattuya,SELF PORTRAIT BLUE,640,1,3330,5760,Signed and Dated,80,70,2005,Acrylic / Canvas,221,2019/4/1,0
Ismail Alwi,TREE OF LIFE,4803,1,5120,7690,Signed and Dated,152,121.5,2018,Oil and acrylic / Canvas,222,2019/4/1,0
