"sales_price","sales_price_log","estimate_range","auction_location","surface","artist_seal","inscribed","signed","dated","titled","stamped","auction_year","auction_month","auction_weekday","canvas","oil","acrylic","board","paper","lacquer","masonite","panel","ink","wood"
240190,12.389185555788,25620,"0",924,"0","0","1","0","0","0","2019","3","Sunday","0","1","0","1","1","0","0","0","0","0"
1252180,14.0403965902763,256200,"0",3510.78,"0","0","0","0","0","0","2019","3","Sunday","1","1","0","0","0","0","0","0","0","0"
1282920,14.0646492877955,256200,"0",4611,"0","0","0","0","0","0","2019","3","Sunday","1","1","0","0","0","0","0","0","0","0"
224180,12.3202045795751,38430,"0",1262.24,"0","0","0","0","0","0","2019","3","Sunday","1","1","0","0","0","0","0","0","0","0"
16752020,16.634029405979,1281000,"0",10905.25,"0","0","1","1","0","0","2019","3","Sunday","1","1","0","0","0","0","0","0","0","0"
3250540,14.9943316943501,1281000,"0",5617.2,"0","0","1","1","0","0","2019","3","Sunday","1","1","0","0","0","0","0","0","0","0"
2635660,14.7846441829774,1024800,"0",2688.4,"0","0","1","0","0","0","2019","3","Sunday","1","1","0","0","0","0","0","0","0","0"
2712520,14.8133886500756,256200,"0",4368,"0","0","1","1","0","0","2019","3","Sunday","1","1","0","0","0","0","0","0","0","0"
1175320,13.977051008908,256200,"0",1262.08,"0","0","1","1","0","0","2019","3","Sunday","1","1","0","0","0","0","0","0","0","0"
944740,13.7586650363449,256200,"0",9413.25,"0","0","1","1","0","0","2019","3","Sunday","1","1","0","0","0","0","0","0","0","0"
512400,13.1468608490047,256200,"0",2530,"0","0","1","1","0","0","2019","3","Sunday","1","1","0","0","0","0","0","0","0","0"
1329040,14.0999674350604,409920,"0",1570.8,"0","0","0","0","0","0","2019","3","Sunday","1","1","0","0","0","0","0","0","0","0"
1252180,14.0403965902763,384300,"0",12342,"0","0","1","1","0","0","2019","3","Sunday","0","1","0","0","0","0","0","0","0","1"
2174500,14.5923093110198,512400,"0",9541,"0","0","1","0","0","0","2019","3","Sunday","1","1","0","0","0","0","0","0","0","0"
867880,13.6738087352373,128100,"0",5222.88,"0","0","0","0","0","0","2019","3","Sunday","1","1","0","0","0","0","0","0","0","0"
14855240,16.5138632229247,2562000,"0",18585.18,"0","0","1","1","0","0","2019","3","Sunday","1","1","0","0","0","0","0","0","0","0"
2328220,14.6606145850867,1281000,"0",6716,"0","0","1","1","0","0","2019","3","Sunday","1","1","0","0","0","0","0","0","0","0"
7559950,15.8383751343772,2562000,"0",20865,"0","0","1","1","0","0","2019","3","Sunday","1","1","0","0","0","0","0","0","0","0"
13104370,16.3884563203296,3843000,"0",18915,"0","0","1","1","0","0","2019","3","Sunday","1","1","0","0","0","0","0","0","0","0"
10186260,16.1365503113316,2562000,"0",18391.84,"0","0","1","1","0","0","2019","3","Sunday","1","1","0","0","0","0","0","0","0","0"
8289480,15.930497798968,1281000,"0",25350,"0","0","1","1","0","0","2019","3","Sunday","1","1","0","0","0","0","0","0","0","0"
791020,13.5810785308802,320250,"0",150000,"0","0","1","1","0","0","2019","3","Sunday","1","1","0","0","0","0","0","0","0","0"
480380,13.082332736348,204960,"0",15714,"0","0","1","1","0","0","2019","3","Sunday","1","1","0","0","0","0","0","0","0","0"
272210,12.5143291062176,102480,"0",13566,"0","0","1","1","0","0","2019","3","Sunday","1","0","1","0","0","0","0","0","0","0"
256200,12.4537136684448,166530,"0",10000,"0","0","1","1","0","0","2019","3","Sunday","1","0","1","0","0","0","0","0","0","0"
867880,13.6738087352373,192150,"0",25350,"0","0","1","1","0","0","2019","3","Sunday","1","1","0","0","0","0","0","0","0","0"
416330,12.9392334940024,128100,"0",22500,"0","0","1","1","0","0","2019","3","Sunday","1","1","0","0","0","0","0","0","0","0"
160130,11.9837412643165,25620,"0",6597.5,"0","0","1","1","0","0","2019","3","Sunday","1","1","0","0","0","0","0","0","0","0"
883250,13.6913635652214,128100,"0",35640,"0","0","1","0","0","0","2019","3","Sunday","0","0","0","0","0","1","0","1","0","1"
1175320,13.977051008908,256200,"0",6787.5,"0","0","1","0","0","0","2019","3","Sunday","1","1","0","0","0","0","0","0","0","0"
1252180,14.0403965902763,256200,"0",10905.25,"0","0","1","0","0","0","2019","3","Sunday","1","1","0","0","0","0","0","0","0","0"
1329040,14.0999674350604,256200,"0",6916,"0","0","1","0","0","0","2019","3","Sunday","1","1","0","0","0","0","0","0","0","0"
668040,13.4121033309656,128100,"0",5104,"0","0","1","1","0","0","2019","3","Sunday","1","1","0","0","0","0","0","0","0","0"
1636480,14.3080581516449,256200,"0",29768,"0","0","1","0","0","0","2019","3","Sunday","0","1","0","0","0","0","1","0","0","0"
3711700,15.1270005506567,262708.888763226,"0",14833,"0","0","1","0","0","0","2019","3","Sunday","0","1","0","0","0","0","1","0","0","0"
384300,12.8591787765529,128100,"0",16080,"0","0","1","1","0","0","2019","3","Sunday","1","1","0","0","0","0","0","0","0","0"
256200,12.4537136684448,128100,"0",12303.75,"0","0","1","1","0","0","2019","3","Sunday","1","1","0","0","0","0","0","0","0","0"
1405900,14.156188225068,487631.001455562,"0",27035.5,"0","0","1","0","0","0","2019","3","Sunday","1","1","0","0","0","0","0","1","0","1"
320250,12.676857219759,128100,"0",27740,"0","0","1","1","0","0","2019","3","Sunday","1","1","0","0","0","0","0","0","0","0"
